body,rate,likes,dislikes,created_at,is_buyer,product_id,Price,clean_body,word_count,char_len,unique_word_ratio,emoji_count,hour,dayofweek,iso_score,lof_score,knn_dist,ensemble_score,ae_score,threshold_Isolation,is_outlier_Isolation,threshold_LOF,is_outlier_LOF,threshold_KNN,is_outlier_KNN,threshold_Ensemble,is_outlier_Ensemble,threshold_Autoencoder,is_outlier_Autoencoder,votes,is_outlier_consensus,explain
کیف معمولی با جنس معمولی,5.0,0,1,,True,7065373,2150000,کیف معمولی با جنس معمولی,5,24,0.8,0,-1,-1,-0.024863141536609734,-4.863604773708836,6.5935720042999835,0.33316940815291585,0.3306637217056287,-0.026150216236085322,1,-4.831470228940646,0,5.491725233239491,1,0.3064265381176661,1,0.19635706898523037,1,4,1,امتیاز افراطی (5.0)؛ تأیید چند مدل: Isolation، KNN، Ensemble، Autoencoder
حتما بخرید .با کیفیت,4.0,0,0,,True,741823,632000,حتما بخرید با کیفیت,4,19,1.0,0,-1,-1,-0.024575785967576314,-4.392401895722139,6.4486888134400715,0.33256315432374867,0.06252733135304742,-0.026150216236085322,1,-4.831470228940646,1,5.491725233239491,1,0.3064265381176661,1,0.19635706898523037,0,4,1,نسبت واژه‌های یکتا نامعمول (1.00)؛ تأیید چند مدل: Isolation، LOF، KNN، Ensemble
"بسته بندی خوب
چاپ خوب
ترجمه خوب
",5.0,2,0,,True,3639723,480000,بسته بندی خوب چاپ خوب ترجمه خوب,7,31,0.7142857142857143,0,-1,-1,-0.019021448042756017,-5.7086186274531325,3.370727632062377,0.31838756594823586,0.2997586161781242,-0.026150216236085322,1,-4.831470228940646,0,5.491725233239491,0,0.3064265381176661,1,0.19635706898523037,1,3,1,امتیاز افراطی (5.0)؛ تأیید چند مدل: Isolation، Ensemble، Autoencoder
"من بخاطر اینکه توی کیف راحت بزارم خریدم
هم سایزش مناسبه هم بوش خیلی خوبه دوستان نوشتن بوی لیمو بنظرم بوی یاس میده بیشتر ، هم رطوبتش کافیه در کل خیلی راضی هستم",5.0,1,0,,True,3337664,352100,من بخاطر اینکه توی کیف راحت بزارم خریدم هم سایزش مناسبه هم بوش خیلی خوبه دوستان نوشتن بوی لیمو بنظرم بوی یاس میده بیشتر هم رطوبتش کافیه در کل خیلی راضی هستم,32,156,0.875,0,-1,-1,-0.002405080895946987,-5.714764278340144,4.0308698230239015,0.3633632048381543,0.26429939599628394,-0.026150216236085322,1,-4.831470228940646,0,5.491725233239491,0,0.3064265381176661,1,0.19635706898523037,1,3,1,امتیاز افراطی (5.0)؛ تأیید چند مدل: Isolation، Ensemble، Autoencoder
دیجی کالا این رنگ رو مشکی میبینه,3.0,93,0,,True,4439442,950000,دیجی کالا این رنگ رو مشکی میبینه,7,32,1.0,0,-1,-1,-0.05657627875524074,-5.460910233471121,24.903963548543224,0.42062757571271464,0.8836131021100023,-0.026150216236085322,0,-4.831470228940646,0,5.491725233239491,1,0.3064265381176661,1,0.19635706898523037,1,3,1,نسبت واژه‌های یکتا نامعمول (1.00)؛ الگوی تعامل نامتوازن؛ تأیید چند مدل: KNN، Ensemble، Autoencoder
فوق العاده جنس خوبی داره و خوش رنگ هست,5.0,0,0,,True,6467619,2014000,فوق العاده جنس خوبی داره و خوش رنگ هست,9,38,1.0,0,-1,-1,-0.003932245814545432,-5.2964134190474,8.690836395852292,0.40103118208791133,0.6794925435701493,-0.026150216236085322,1,-4.831470228940646,0,5.491725233239491,1,0.3064265381176661,1,0.19635706898523037,1,4,1,نسبت واژه‌های یکتا نامعمول (1.00)؛ امتیاز افراطی (5.0)؛ تأیید چند مدل: Isolation، KNN، Ensemble، Autoencoder
کیفیت خوب و بوی خوبی داره,2.0,3,0,,True,7227718,1780000,کیفیت خوب و بوی خوبی داره,6,25,1.0,0,-1,-1,-0.015098138132759509,-5.146084069487756,6.337600766067622,0.3538984623903276,0.07836081673286004,-0.026150216236085322,1,-4.831470228940646,0,5.491725233239491,1,0.3064265381176661,1,0.19635706898523037,0,3,1,نسبت واژه‌های یکتا نامعمول (1.00)؛ تأیید چند مدل: Isolation، KNN، Ensemble
البته در توضیحات نوشته شده که قابل کوک هست که اینطور نیست. با این وجود، حدود ربع پرده خطا داره و دقتش ۱۰۰ درصد نیست. با این وجود برای دریافت آنی صدای نت، چه برای نواختن ساز و چه آوازخوانی و حصول نت صحیح، مناسب هست. صداشم صدایی شبیه به صدای سازدهنی هست. دامنه‌ی نت‌هاش هم از فای ۴ تا می ۵ هست.,3.9,1,0,,True,1762286,1950000,البته در توضیحات نوشته شده که قابل کوک هست که اینطور نیست با این وجود حدود ربع پرده خطا داره و دقتش درصد نیست با این وجود برای دریافت آنی صدای نت چه برای نواختن ساز و چه آوازخوانی و حصول نت صحیح مناسب هست صداشم صدایی شبیه به صدای سازدهنی هست دامنه ی نت هاش هم از فای تا می هست,62,276,0.7580645161290323,0,-1,-1,-0.0037306860774152795,-5.667446379048828,6.115372097230038,0.3786999303501865,0.11435270719935484,-0.026150216236085322,1,-4.831470228940646,0,5.491725233239491,1,0.3064265381176661,1,0.19635706898523037,0,3,1,تأیید چند مدل: Isolation، KNN، Ensemble
واقعا عالي. و تنخور فوق العاده و شيك توصيه ميكنم,5.0,0,0,,True,4853302,1780000,واقعا عالی و تنخور فوق العاده و شیک توصیه می کنم,11,48,0.9090909090909092,0,-1,-1,-0.023701552601653575,-5.595529514915999,7.270145964301205,0.34189595157534175,0.24578091506779476,-0.026150216236085322,1,-4.831470228940646,0,5.491725233239491,1,0.3064265381176661,1,0.19635706898523037,1,4,1,امتیاز افراطی (5.0)؛ تأیید چند مدل: Isolation، KNN، Ensemble، Autoencoder
پیشنهاد میشه,5.0,0,4,,True,3090262,920000,پیشنهاد میشه,2,12,1.0,0,-1,-1,-0.022078254563632993,2.1434737070338326,7.1036217856296275,0.34424409045361726,0.19257268155670323,-0.026150216236085322,1,-4.831470228940646,1,5.491725233239491,1,0.3064265381176661,1,0.19635706898523037,0,4,1,طول متن غیرمعمول (2 کلمه)؛ نسبت واژه‌های یکتا نامعمول (1.00)؛ امتیاز افراطی (5.0)؛ تأیید چند مدل: Isolation، LOF، KNN، Ensemble
این جنس مناسب کوله نیست,0.0,0,0,,True,3596463,1280000,این جنس مناسب کوله نیست,5,23,1.0,0,-1,-1,-0.011559894647741376,-5.474891238695921,6.703184981202597,0.3654679768867604,0.540914256798303,-0.026150216236085322,1,-4.831470228940646,0,5.491725233239491,1,0.3064265381176661,1,0.19635706898523037,1,4,1,نسبت واژه‌های یکتا نامعمول (1.00)؛ امتیاز افراطی (0.0)؛ تأیید چند مدل: Isolation، KNN، Ensemble، Autoencoder
بد نبود. بوی تند نداره,4.0,0,0,,True,3025064,123000,بد نبود بوی تند نداره,5,21,1.0,0,-1,-1,-0.020780328755710176,-5.6484544798315754,5.954007498242529,0.33712067545161967,0.04549617630374683,-0.026150216236085322,1,-4.831470228940646,0,5.491725233239491,1,0.3064265381176661,1,0.19635706898523037,0,3,1,نسبت واژه‌های یکتا نامعمول (1.00)؛ تأیید چند مدل: Isolation، KNN، Ensemble
ممنون ازدیجی راضیم,4.0,0,0,,True,3542217,148000,ممنون ازدیجی راضیم,3,18,1.0,0,-1,-1,-0.009361035785095506,-4.635056105495156,6.43208898633358,0.36824551716053505,0.06425401376222219,-0.026150216236085322,1,-4.831470228940646,1,5.491725233239491,1,0.3064265381176661,1,0.19635706898523037,0,4,1,نسبت واژه‌های یکتا نامعمول (1.00)؛ تأیید چند مدل: Isolation، LOF، KNN، Ensemble
بنزر من خیلی این کلاهای خوبی هست,4.0,0,0,,True,2130371,400000,بنزر من خیلی این کلاهای خوبی هست,7,32,1.0,0,-1,-1,-0.02480721971607186,-3.738731646205916,5.506635718132006,0.3236762066213241,0.040961270275439325,-0.026150216236085322,1,-4.831470228940646,1,5.491725233239491,1,0.3064265381176661,1,0.19635706898523037,0,4,1,نسبت واژه‌های یکتا نامعمول (1.00)؛ تأیید چند مدل: Isolation، LOF، KNN، Ensemble
"من برای اریشگاه گرفتم 
واقعا جنس محکم خوبی داره",5.0,0,0,,True,1666347,527000,من برای اریشگاه گرفتم واقعا جنس محکم خوبی داره,9,46,1.0,0,-1,-1,-0.021800180641943834,-5.536445411453127,6.629614827470027,0.3407015644095541,0.048771157508591075,-0.026150216236085322,1,-4.831470228940646,0,5.491725233239491,1,0.3064265381176661,1,0.19635706898523037,0,3,1,نسبت واژه‌های یکتا نامعمول (1.00)؛ امتیاز افراطی (5.0)؛ تأیید چند مدل: Isolation، KNN، Ensemble
هم بسته بندی خوبی داشت و کیفیت محصول عالی بود,5.0,0,0,,True,2918615,258000,هم بسته بندی خوبی داشت و کیفیت محصول عالی بود,10,45,1.0,0,-1,-1,-0.0016298258582396197,-5.241258907695365,5.675299253064508,0.3797503914449278,0.11837256084386583,-0.026150216236085322,1,-4.831470228940646,0,5.491725233239491,1,0.3064265381176661,1,0.19635706898523037,0,3,1,نسبت واژه‌های یکتا نامعمول (1.00)؛ امتیاز افراطی (5.0)؛ تأیید چند مدل: Isolation، KNN، Ensemble
عالیه راضیم پیشنهاد میکنم,3.0,0,0,,True,5905199,1040000,عالیه راضیم پیشنهاد می کنم,5,26,1.0,0,-1,-1,-0.01889327717753675,-2.2265776028364925,6.046781200178836,0.3423860287397286,0.05488733917032132,-0.026150216236085322,1,-4.831470228940646,1,5.491725233239491,1,0.3064265381176661,1,0.19635706898523037,0,4,1,نسبت واژه‌های یکتا نامعمول (1.00)؛ تأیید چند مدل: Isolation، LOF، KNN، Ensemble
نسبت به قیمتش خدایی خیلی خوبه، من راضی ام، هم خوشگله هم جنس خوبی داره,0.0,1,0,,True,1476764,850000,نسبت به قیمتش خدایی خیلی خوبه من راضی ام هم خوشگله هم جنس خوبی داره,15,67,0.9333333333333332,0,-1,-1,-0.004512774354684668,-5.471551730112759,8.496336684211375,0.39794178223523086,0.3381360079485891,-0.026150216236085322,1,-4.831470228940646,0,5.491725233239491,1,0.3064265381176661,1,0.19635706898523037,1,4,1,امتیاز افراطی (0.0)؛ تأیید چند مدل: Isolation، KNN، Ensemble، Autoencoder
بد نبود راضیم,4.0,0,0,,True,211079,1450000,بد نبود راضیم,3,13,1.0,0,-1,-1,-0.015319637326626168,-0.6106834162445232,6.553242597839781,0.35528637571822336,0.5869496055764105,-0.026150216236085322,1,-4.831470228940646,1,5.491725233239491,1,0.3064265381176661,1,0.19635706898523037,1,5,1,نسبت واژه‌های یکتا نامعمول (1.00)؛ تأیید چند مدل: Isolation، LOF، KNN، Ensemble، Autoencoder
"ارزش خرید داره.....مناسب کادو 
من که خیلی راضیم💖",0.0,0,0,,True,2777397,1590000,ارزش خرید داره مناسب کادو من که خیلی راضیم,9,42,1.0,1,-1,-1,-0.00266563889335375,-5.162474876786098,9.898964156192083,0.4147119775764829,0.42835860389133673,-0.026150216236085322,1,-4.831470228940646,0,5.491725233239491,1,0.3064265381176661,1,0.19635706898523037,1,4,1,نسبت واژه‌های یکتا نامعمول (1.00)؛ امتیاز افراطی (0.0)؛ تأیید چند مدل: Isolation، KNN، Ensemble، Autoencoder
یک ادوپرفیوم فوق العاده در این رنج قیمت 💫,5.0,0,0,,True,2487394,1813000,یک ادوپرفیوم فوق العاده در این رنج قیمت,8,39,1.0,1,-1,-1,-0.03276449487090932,-4.530346112576218,11.680481823677047,0.35960736097596596,0.5498276952824438,-0.026150216236085322,0,-4.831470228940646,1,5.491725233239491,1,0.3064265381176661,1,0.19635706898523037,1,4,1,نسبت واژه‌های یکتا نامعمول (1.00)؛ امتیاز افراطی (5.0)؛ تأیید چند مدل: LOF، KNN، Ensemble، Autoencoder
"این کتاب رو من برای کتابخانه شخصی خودم سفارش دادم والبته که طراحیش و کاغذش کیفیت خوبی به نسبت قیمتش داره..درسته که حجم کتاب کم وخلاصه شده است ولی واقعا بخاطر حس نوستالژی که داره ارزشمنده..
بسته بندی هم مشکلی نداشت
تشکر ازفروشنده ودیجی کالا",4.6,3,0,,True,4264388,463000,این کتاب رو من برای کتابخانه شخصی خودم سفارش دادم والبته که طراحیش و کاغذش کیفیت خوبی به نسبت قیمتش داره درسته که حجم کتاب کم وخلاصه شده است ولی واقعا بخاطر حس نوستالژی که داره ارزشمنده بسته بندی هم مشکلی نداشت تشکر ازفروشنده ودیجی کالا,46,236,0.9130434782608696,0,-1,-1,-0.034561980056772246,-5.396883721591895,6.92999346169214,0.31330855800861107,0.36243475973074807,-0.026150216236085322,0,-4.831470228940646,0,5.491725233239491,1,0.3064265381176661,1,0.19635706898523037,1,3,1,تأیید چند مدل: KNN، Ensemble، Autoencoder
من راضی هستم برای من که پوست دستم خشک هست عالیه و بوی خوبی داره,0.0,1,0,,True,1498950,545000,من راضی هستم برای من که پوست دستم خشک هست عالیه و بوی خوبی داره,15,63,0.9333333333333332,0,-1,-1,-0.017888715038604674,-5.152043749437873,7.197636374320209,0.3549425792418969,0.7147562166698644,-0.026150216236085322,1,-4.831470228940646,0,5.491725233239491,1,0.3064265381176661,1,0.19635706898523037,1,4,1,امتیاز افراطی (0.0)؛ تأیید چند مدل: Isolation، KNN، Ensemble، Autoencoder
کتاب فوق العاده خوبیه سالم وصحیخ به دستم رسید,5.0,0,0,,True,3090776,1250000,کتاب فوق العاده خوبیه سالم وصحیخ به دستم رسید,9,45,1.0,0,-1,-1,-0.01809444403992594,-5.374607755404867,6.2202321277237305,0.3458031268823642,0.12738358458621687,-0.026150216236085322,1,-4.831470228940646,0,5.491725233239491,1,0.3064265381176661,1,0.19635706898523037,0,3,1,نسبت واژه‌های یکتا نامعمول (1.00)؛ امتیاز افراطی (5.0)؛ تأیید چند مدل: Isolation، KNN، Ensemble
هنوز کتاب رو نخوندم که درباره محتواش نظر بدم اما از بسته بندی،جلد و کاغد بالکی کتاب که باعث سبک تر شدنش شد کاملا راضیم.,0.0,1,1,,True,7443110,980000,هنوز کتاب رو نخوندم که درباره محتواش نظر بدم اما از بسته بندی جلد و کاغد بالکی کتاب که باعث سبک تر شدنش شد کاملا راضیم,26,118,0.9230769230769232,0,-1,-1,-0.015516565940867477,-5.604931968013409,5.916108218621869,0.34918075841512364,0.2526222818402625,-0.026150216236085322,1,-4.831470228940646,0,5.491725233239491,1,0.3064265381176661,1,0.19635706898523037,1,4,1,امتیاز افراطی (0.0)؛ تأیید چند مدل: Isolation، KNN، Ensemble، Autoencoder
"من بخاطر اینکه توی کیف راحت بزارم خریدم
هم سایزش مناسبه هم بوش خیلی خوبه دوستان نوشتن بوی لیمو بنظرم بوی یاس میده بیشتر ، هم رطوبتش کافیه در کل خیلی راضی هستم",5.0,1,0,,True,3337664,352100,من بخاطر اینکه توی کیف راحت بزارم خریدم هم سایزش مناسبه هم بوش خیلی خوبه دوستان نوشتن بوی لیمو بنظرم بوی یاس میده بیشتر هم رطوبتش کافیه در کل خیلی راضی هستم,32,156,0.875,0,-1,-1,-0.002405080895946987,-5.714764278340144,4.0308698230239015,0.3633632048381543,0.26429939599628394,-0.026150216236085322,1,-4.831470228940646,0,5.491725233239491,0,0.3064265381176661,1,0.19635706898523037,1,3,1,امتیاز افراطی (5.0)؛ تأیید چند مدل: Isolation، Ensemble، Autoencoder
